"","ID","Income.Group"
"1",32562,"0"
"2",32563,"0"
"3",32564,"0"
"4",32565,"0"
"5",32566,"0"
"6",32567,"0"
"7",32568,"0"
"8",32569,"1"
"9",32570,"0"
"10",32571,"0"
"11",32572,"0"
"12",32573,"1"
"13",32574,"0"
"14",32575,"0"
"15",32576,"0"
"16",32577,"1"
"17",32578,"0"
"18",32579,"0"
"19",32580,"0"
"20",32581,"1"
"21",32582,"1"
"22",32583,"0"
"23",32584,"0"
"24",32585,"0"
"25",32586,"1"
"26",32587,"0"
"27",32588,"0"
"28",32589,"0"
"29",32590,"0"
"30",32591,"0"
"31",32592,"1"
"32",32593,"0"
"33",32594,"0"
"34",32595,"0"
"35",32596,"0"
"36",32597,"0"
"37",32598,"1"
"38",32599,"0"
"39",32600,"0"
"40",32601,"0"
"41",32602,"1"
"42",32603,"1"
"43",32604,"0"
"44",32605,"0"
"45",32606,"0"
"46",32607,"0"
"47",32608,"0"
"48",32609,"0"
"49",32610,"0"
"50",32611,"0"
"51",32612,"0"
"52",32613,"0"
"53",32614,"0"
"54",32615,"0"
"55",32616,"0"
"56",32617,"0"
"57",32618,"0"
"58",32619,"1"
"59",32620,"0"
"60",32621,"0"
"61",32622,"0"
"62",32623,"0"
"63",32624,"0"
"64",32625,"0"
"65",32626,"0"
"66",32627,"0"
"67",32628,"0"
"68",32629,"0"
"69",32630,"0"
"70",32631,"0"
"71",32632,"1"
"72",32633,"1"
"73",32634,"0"
"74",32635,"0"
"75",32636,"0"
"76",32637,"0"
"77",32638,"0"
"78",32639,"0"
"79",32640,"0"
"80",32641,"0"
"81",32642,"0"
"82",32643,"0"
"83",32644,"0"
"84",32645,"0"
"85",32646,"0"
"86",32647,"0"
"87",32648,"0"
"88",32649,"0"
"89",32650,"0"
"90",32651,"1"
"91",32652,"0"
"92",32653,"0"
"93",32654,"1"
"94",32655,"0"
"95",32656,"0"
"96",32657,"0"
"97",32658,"0"
"98",32659,"0"
"99",32660,"0"
"100",32661,"0"
"101",32662,"0"
"102",32663,"0"
"103",32664,"0"
"104",32665,"0"
"105",32666,"0"
"106",32667,"0"
"107",32668,"0"
"108",32669,"0"
"109",32670,"0"
"110",32671,"0"
"111",32672,"0"
"112",32673,"0"
"113",32674,"0"
"114",32675,"0"
"115",32676,"0"
"116",32677,"0"
"117",32678,"0"
"118",32679,"0"
"119",32680,"0"
"120",32681,"0"
"121",32682,"0"
"122",32683,"0"
"123",32684,"0"
"124",32685,"0"
"125",32686,"0"
"126",32687,"0"
"127",32688,"1"
"128",32689,"0"
"129",32690,"0"
"130",32691,"1"
"131",32692,"1"
"132",32693,"0"
"133",32694,"0"
"134",32695,"1"
"135",32696,"0"
"136",32697,"0"
"137",32698,"0"
"138",32699,"0"
"139",32700,"0"
"140",32701,"0"
"141",32702,"1"
"142",32703,"0"
"143",32704,"0"
"144",32705,"0"
"145",32706,"0"
"146",32707,"0"
"147",32708,"0"
"148",32709,"0"
"149",32710,"1"
"150",32711,"0"
"151",32712,"0"
"152",32713,"0"
"153",32714,"0"
"154",32715,"0"
"155",32716,"1"
"156",32717,"0"
"157",32718,"0"
"158",32719,"0"
"159",32720,"0"
"160",32721,"0"
"161",32722,"0"
"162",32723,"0"
"163",32724,"0"
"164",32725,"0"
"165",32726,"1"
"166",32727,"0"
"167",32728,"1"
"168",32729,"0"
"169",32730,"0"
"170",32731,"0"
"171",32732,"0"
"172",32733,"0"
"173",32734,"0"
"174",32735,"0"
"175",32736,"0"
"176",32737,"1"
"177",32738,"0"
"178",32739,"0"
"179",32740,"0"
"180",32741,"0"
"181",32742,"0"
"182",32743,"1"
"183",32744,"0"
"184",32745,"0"
"185",32746,"0"
"186",32747,"0"
"187",32748,"0"
"188",32749,"0"
"189",32750,"0"
"190",32751,"0"
"191",32752,"1"
"192",32753,"0"
"193",32754,"0"
"194",32755,"0"
"195",32756,"0"
"196",32757,"0"
"197",32758,"0"
"198",32759,"1"
"199",32760,"0"
"200",32761,"0"
"201",32762,"1"
"202",32763,"1"
"203",32764,"0"
"204",32765,"0"
"205",32766,"0"
"206",32767,"1"
"207",32768,"0"
"208",32769,"0"
"209",32770,"1"
"210",32771,"0"
"211",32772,"0"
"212",32773,"0"
"213",32774,"0"
"214",32775,"1"
"215",32776,"0"
"216",32777,"0"
"217",32778,"0"
"218",32779,"0"
"219",32780,"0"
"220",32781,"0"
"221",32782,"1"
"222",32783,"0"
"223",32784,"0"
"224",32785,"0"
"225",32786,"0"
"226",32787,"0"
"227",32788,"1"
"228",32789,"0"
"229",32790,"0"
"230",32791,"0"
"231",32792,"0"
"232",32793,"1"
"233",32794,"0"
"234",32795,"0"
"235",32796,"0"
"236",32797,"0"
"237",32798,"1"
"238",32799,"0"
"239",32800,"0"
"240",32801,"0"
"241",32802,"0"
"242",32803,"0"
"243",32804,"0"
"244",32805,"0"
"245",32806,"0"
"246",32807,"0"
"247",32808,"0"
"248",32809,"0"
"249",32810,"0"
"250",32811,"0"
"251",32812,"0"
"252",32813,"0"
"253",32814,"1"
"254",32815,"0"
"255",32816,"0"
"256",32817,"0"
"257",32818,"0"
"258",32819,"0"
"259",32820,"0"
"260",32821,"0"
"261",32822,"1"
"262",32823,"0"
"263",32824,"0"
"264",32825,"0"
"265",32826,"0"
"266",32827,"0"
"267",32828,"0"
